name,data
Mystical Training,"[{""name"": ""Mystical Training"",""type"": ""Trait"",""data"": {""notes"": ""You've been raised and trained since you were a child in a secluded place or monastery under the guidance of a wise mentor, developing mystical fighting skills.\n- Minor (cost 1 BP):  Write your Nature about the teachings of your master. Your unarmed attacks are one Size larger than what they should normally be (up to a maximum of Colossal).\n- Major (cost 3 BPs):  Additionally, a visible, mystical aura of holiness surrounds you when you're in danger, granting you a special +20 bonus to your Defense and Save Rolls if you are unarmed and aren't wearing any armor."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Mystical Training"",""type"": ""Modifier"",""data"": {""notes"": ""A visible, mystical aura of holiness surrounds you when you're in danger, granting you a special +20 bonus to your Defense and Save Rolls if you are unarmed and aren't wearing any armor."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""20"",""category"": ""defence"",""targets"": ""Willpower, Toughness""},""2"": {""value"": 20,""formula"": ""20"",""category"": ""reaction"",""targets"": ""Missile, Melee""}},""tempName"": ""Mystical Training""}}]"
Rogue Mage,"[{""name"": ""Rogue Mage"",""type"": ""Trait"",""data"": {""notes"": ""You were born with an innate magical ability or developed it after a unique occurance. You can't really explain why or how your magic works, but using it is as natural as breathing to you. \n- Minor (cost 1 BP):  Include something about your magical ability in one of your Passions. Select any one Spell Lore of your choosing and add it to your Kin Spell Lores (see Magic chapter for more information on Spell Lores).\n- Major (cost 3 BPs):  Additionally, you can spend one point of Drive to gain the ability of casting spells from the chosen Spell Lore without spending MPs for a scene. At the end of that scene, you become Weary if you weren't Weary, and you drop unconscious for 1d10 hours if you were. However, you're hunted by a powerful NPC because of your powers."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Shapechanger,"[{""name"": ""Shapechanger"",""type"": ""Trait"",""data"": {""notes"": ""The totemic animal of your people blesses you with a righteous fury, granting you the strength to crush your enemies.\n- Minor (cost 2 BPs):  Choose a Medium-sized wild animal (like a wolf, a boar, or a mountain lion) as the totem of your people. Whenever you become Bruised or whenever you gain a point of Drive because of one of your Passions, you can assume the form of the animal you've chosen. While in this form, you have the AT, DEF, HP, natural physical abilities, Skills and attacks (you can choose if using the animal CMB or your Brawl Skill bonus when using these attacks) of your totemic animal, or your own Skill bonus +10, whichever is higher. Your Lore and mental Skills (those Skills that require concentration and human intellect) suffer instead a penalty of -50. While in animal form you can not speak nor cast Spells. You're also pervaded by a bestial fury. At the beginning of each Assessment Phase, if you're not Engaged, you must pass a Perception Roll or attack the nearest creature. You revert to your original form if you're Incapacitated or if there aren't enemies within sight and you pass your Perception Roll. When you return to your original form, you become Weary.\n- Major (cost 4 BPs):  you can also choose a Large animal as your totem, and you can spend a point of Drive to transform into your totemic animal with a Full Action."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Slayer,"[{""name"": ""Slayer"",""type"": ""Trait"",""data"": {""notes"": ""You have sworn an oath of eternal enmity towards a particular enemy. You have spent a great part of your life studying them, to find better ways to hunt them.\n- Minor (cost 1 BP):  Pick a specific type of creature (like dragons, dwergars, or trolls) as your hated enemy, and write one of your Passions about your hatred toward them. You gain a +10 bonus to your Hunting, Cultures, Songs & Tales, and Attack Rolls when your hated enemy is involved. You cannot choose one of your companions' Kin as your hated enemy.\n- Major (cost 3 BP):  Additionally, whenever you start a combat against your hated enemy or defeat one of your hated enemies in a fight, you gain one Hatred Token (use a glass bead or similar marker to represent it). You can spend a Hatred Token either to re-roll an Attack Roll that targeted a hated enemy or to add your Level to a Critical Strike Roll you scored against a hated enemy. Unused Hatred Tokens are discarded at the end of each combat."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Slayer (of what?)"",""type"": ""Modifier"",""data"": {""notes"": ""Pick a specific type of creature (like dragons, dwergars, or trolls) as your hated enemy."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": true,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Hunting, Cultures, Songs & Tales""},""2"": {""value"": 10,""formula"": ""10"",""category"": ""attack"",""targets"": """"}},""tempName"": ""Slayer (of what?)""}}, {""name"": ""Slayer (Tokens)"",""type"": ""Pool"",""data"": {""notes"": ""Whenever you start a combat against your hated enemy or defeat one of your hated enemies in a fight, you gain one Hatred Token."",""chartype"": ""CharacterVsD"",""abbr"": ""Tokens"",""name"": """",""state"": """",""min"": 0,""value"": 0,""max"": 5}}, {""name"": ""Slayer (Hatred)"",""type"": ""Modifier"",""data"": {""notes"": ""You can spend a Hatred Token either to re-roll an Attack Roll that targeted a hated enemy or to add your Level to a Critical Strike Roll you scored against a hated enemy."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 0,""formula"": ""@level-ranks"",""category"": ""defence"",""targets"": ""Critical""}},""tempName"": ""Slayer (Hatred)""}}]"
Stormcrow,"[{""name"": ""Stormcrow"",""type"": ""Trait"",""data"": {""notes"": ""You are cursed with a peculiar ability. You see glimpses of the future, now and then, but your visions only show you sorrow, failure, pain, and death. Your associates rarely listen to your counsel, calling you a doomsayer and a bird of ill-omen. But you know what's coming and prepare for the worst.\n- Minor (cost 1 BP):  Write one of your Passions about your visions, and increase the total value of your Wisdom by 5 points.\n- Major (cost 3 BPs):  Additionally, whenever one of your allies spends a point of Drive to re-roll a failed Skill or Save Roll and fails again, you may spend a Free Action to have a vision of doom. When you do so, your companion may accept the failure and get the point of Drive they just spent back."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Stormcrow"",""type"": ""Modifier"",""data"": {""notes"": ""Increase the total value of your Wisdom by 5 points."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": true,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 5,""formula"": ""5"",""category"": ""primary"",""targets"": ""WSD""}},""tempName"": ""Stormcrow""}}]"
Sworn Defender,"[{""name"": ""Sworn Defender"",""type"": ""Trait"",""data"": {""notes"": ""You are part of an elite military order sworn to protect something. It could be a place, an item, a person, or even an ideal, such as justice or honor. Whatever it is, you've vowed to defend it even at the cost of your own life.\n- Minor (cost 1 BP):  Write your Allegiance about your order and its mission. You gain one rank in both Armor and Body. You also get a special +10 bonus to your Charisma Skill Rolls against people who are either part of what your order protects or friendly to their cause.\n- Major (cost 3 BPs):  Additionally, you are immune to fear and gain a +15 bonus to your Save Rolls against mind-influencing effects."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Sworn Defender"",""type"": ""Modifier"",""data"": {""notes"": ""You are immune to fear and gain a +15 bonus to your Save Rolls against mind-influencing effects."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 15,""formula"": ""15"",""category"": ""defence"",""targets"": ""Willpower""}},""tempName"": ""Sworn Defender""}}, {""name"": ""Sworn Defender (The Cause)"",""type"": ""Modifier"",""data"": {""notes"": ""You get a special +10 bonus to your Charisma Skill Rolls against people who are either part of what your order protects or friendly to their cause."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Charisma""}},""tempName"": ""Sworn Defender (The Cause)""}}, {""name"": ""Ranks:  Sworn Defender"",""type"": ""Variable"",""data"": {""notes"": ""Armor +1\nBody:  +1"",""chartype"": ""CharacterVsD"",""value"": 1,""formula"": ""1"",""label"": ""Armor"",""entries"": {""0"": {""value"": null,""formula"": """",""label"": """"},""1"": {""value"": 1,""formula"": ""1"",""label"": ""Armor""},""2"": {""value"": 1,""formula"": ""1"",""label"": ""Body""}}}}]"
Trader,"[{""name"": ""Trader"",""type"": ""Trait"",""data"": {""notes"": ""You are or were in the trading business, as a member of a great merchant family, a shrewd dealer of rare goods, a provider of specialised services, or a similar occupation.\n- Minor (cost 1 BP):  You get a special +10 bonus to your Deceive and Charisma Rolls whenever you're closing a deal or bargaining for something.\n- Major (cost 3 BP):  Additionally, once per session, when you meet a new NPC, you may spend one point of Drive to declare that they are either an old customer of yours, or a fellow trader."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Trader (Bargaining)"",""type"": ""Modifier"",""data"": {""notes"": ""You get a special +10 bonus to your Deceive and Charisma Rolls whenever you're closing a deal or bargaining for something."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Deceive, Charisma""}},""tempName"": ""Trader (Bargaining)""}}]"
Unbreakable Bond,"[{""name"": ""Unbreakable Bond"",""type"": ""Trait"",""data"": {""notes"": ""The road may be dark before you, but you're not alone to face it. You formed a strong bond with another member of your fellowship. Together, you can overcome any adversity.\n- Minor (cost 1 BP):  Select one of your companions and write your Allegiance about them. You gain a +10 bonus to your Rolls made to Help the chosen character. Moreover, you always know when your chosen companion is in danger, even if you aren't able to see each other or are separated by a great distance.\n- Major (cost 3 BPs):  Additionally, as long as you and the chosen companion are within sight of each other, both of you gain a +5 bonus to your DEF and Save Rolls."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Unbreakable Bond (In Sight)"",""type"": ""Modifier"",""data"": {""notes"": ""As long as you and your chosen companion are within sight of each other, both of you gain a +5 bonus to your DEF and Save Rolls."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 5,""formula"": ""5"",""category"": ""reaction"",""targets"": ""Melee, Missile""},""2"": {""value"": 5,""formula"": ""5"",""category"": ""defence"",""targets"": ""Willpower, Toughness""}},""tempName"": ""Unbreakable Bond (In Sight)""}}, {""name"": ""Unbreakable Bond (Help)"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a +10 bonus to your Rolls made to Help the chosen character."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": true,""defence"": false,""skill"": true,""spell"": true,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""attack"",""targets"": """"},""2"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": """"},""3"": {""value"": 10,""formula"": ""10"",""category"": ""spell"",""targets"": """"}},""tempName"": ""Unbreakable Bond (Help)""}}]"
Underground Uprising,"[{""name"": ""Underground Uprising"",""type"": ""Trait"",""data"": {""notes"": ""You spent your youth in the company of thieves, ruffians, or others criminals. You may have left those years behind you, but you have never completely severed your ties with the underworld. \n- Minor (cost 1 BP):  Write something about your relationship with your criminal contacts in your Allegiance. You can use your network of contacts to call in favors or get better prices in the black market. Whenever you're buying stolen or illegal goods, you can treat your WL as if it were 2 levels higher (up to a maximum WL of 4).\n- Major (cost 3 BPs):  Additionally, once per session whenever you are in a town, city, or other civilized settlement, you may spend one point of Drive to declare that you have a contact in the local criminal underworld that might help you in the situation at hand. Name the NPC introduced this way. They must actually lend you some kind of help to solve the specified situation but, besides that, they're controlled by the GM like any other NPC and aren't forced to help you for free (they're criminals, after all)."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Unorthodox Education,"[{""name"": ""Unorthodox Education"",""type"": ""Trait"",""data"": {""notes"": ""You started learning the ropes of a different Vocation than the one you belong to now, but either soon discovered that it wasn't your calling or were somehow forced to interrupt your training. \n- Minor (cost 1 BP):  Choose a Skill in which you have no Vocational Bonuses. You gain a special +10 bonus to that Skill.\n- Major (cost 3 BPs):  Additionally, choose a Vocation different than yours and a Skill Category in which that Vocation gets at least 2 DPs each Level. At each Level, you get one less Development Point to spend in the Skill Category your Vocation gets the most DPs (choose one when you select this Option if more Categories get the same number of DPs), and one additional Development Point to spend in the chosen category for the other Vocation. However, you gained the enmity of a powerful individual during your training. Name your enemy and write your Allegiance about them. For example, if you are a Wizard and chose the Warrior Vocation and the Body Skill Category, at each Level you gain one less DP in either the Lore or the Spells Category, and one extra DP in Body."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Unorthodox Education"",""type"": ""Modifier"",""data"": {""notes"": ""Choose a Skill in which you have no Vocational Bonuses. You gain a special +10 bonus to that Skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Skill Name""}},""tempName"": ""Unorthodox Education""}}]"
Vigilant,"[{""name"": ""Vigilant"",""type"": ""Trait"",""data"": {""notes"": ""An adventurous life taught you to sleep lightly and be always ready for trouble.\n- Minor (cost 1 BP):  Four hours of rest are enough to give you the benefits of a full night of sleep. This doesn't change your HPs recovery rate, but allows you to recover from the Weary condition and regain all spent MPs with 4 hours of rest.\n- Major (cost 3 BPs):  Additionally, you can take Full Actions, attack, and Parry normally when you are Surprised. You are still considered Surprised for the purpose of resolving your foe's attacks and special abilities. However, there's a reason why you're always watchful. Someone or something is out there to get you. Name your enemy and write an Allegiance about them."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Well Traveled,"[{""name"": ""Well Traveled"",""type"": ""Trait"",""data"": {""notes"": ""You travelled far and wide, and are familiar with many places and ways unknown to the majority of people.\n- Minor (cost 1 BP):  You gain one rank in Wandering and you know the location of a Safe Haven. Once during the game, unless your character is in the Darklands, you can declare that a Safe Haven is near, and mark it on the map within 1d5 days of travel from your character's position. Once you've done this, you lose this ability, but the Safe Haven remains available to you and your companions.\n- Major (cost 3 BPs):  Additionally, once per session when your party is Preparing for Travel, you may ask the GM to reveal an alternative, secret, or rarely used route to your destination, without any Skill Roll."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Ranks:  Well Traveled"",""type"": ""Variable"",""data"": {""notes"": ""You gain one rank in Wandering and you know the location of a Safe Haven."",""chartype"": ""CharacterVsD"",""value"": 0,""formula"": """",""label"": """",""entries"": {""0"": {""value"": null,""formula"": """",""label"": """"},""1"": {""value"": 1,""formula"": ""1"",""label"": ""Wandering""}}}}]"
Wyrd,"[{""name"": ""Wyrd"",""type"": ""Trait"",""data"": {""notes"": ""You are bound by a strange fate. Improbable and unpredictable things seems to happen with alarming frequency around you, for good or bad. \n- Minor (cost 1 BP):  Whenever you make an Open-Ended Roll, you must re-roll the dice and add the result on an Unmodified Roll of 95 or more, instead of the normal 96 or more. You must also re-roll and subtract the result on an Unmodified Roll of 06 or less, instead of the standard 05 or less.\n- Major (cost 3 BPs):  Whenever you make an Open-Ended Roll, you must re-roll the dice and add the result on an Unmodified Roll of 93 or more, instead of the normal 96 or more. You must also re-roll and subtract the result on an Unmodified Roll of 08 or less, instead of the standard 05 or less"",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Daredevil,"[{""name"": ""Daredevil"",""type"": ""Trait"",""data"": {""notes"": ""Let others take 'safe' choices and worry about the odds. You are a hero; you are meant for greater things and know that often fortune favors the bold.\n- Minor (cost 1 BP):  Whenever you use at least one point of Drive while attempting an action with a Difficulty of Extremely Hard or higher, you get a special +10 bonus to your Roll, in addition to the normal benefits granted by the Drive expense.\n- Major (cost 3 BPs):  Additionally, once per session when you Critically Fail a Heroic or Insane Skill Roll, you gain a Drive Point."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Daredevil"",""type"": ""Modifier"",""data"": {""notes"": ""Whenever you use at least one point of Drive while attempting an action with a Difficulty of Extremely Hard or higher, you get a special +10 bonus to your Roll, in addition to the normal benefits granted by the Drive expense."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": """"}},""tempName"": ""Daredevil""}}]"
Mark of Destiny,"[{""name"": ""Mark of Destiny"",""type"": ""Trait"",""data"": {""notes"": ""You carry a strange mark on your body, that was there since you were born or since a very particular occasion. Sometimes it throbs or causes you discomfort, as if to warn you of something. You still haven't figured out the secret it hides, but one thing is certain:  your own destiny is tightly connected to it.\n- Minor (cost 1 BP):  You have a unique permanent mark (a scar, a birthmark, a tattoo, or anything similar) on a prominent part of your body. Describe it, then choose one of the following:  servants of the Darkmaster, magic, or a specific kind of creature (demons, orcs, undead, etc). Your mark will always warn you when you're in the presence of what you chose (you decide how; it could throb, glow softly, cause you migraines, bleed, etc). You get a -10 penalty to all Perception Rolls to notice anything else when your mark is 'active', because of the distraction.\n- Major (cost 3 BPs):  You also gain an additional Passion, named 'Destiny' representing your uncommon fate. Write it together with the GM and the rest of the group, and remember to link it to your mark somehow (i.e.:  'the blood of the ancient Archmages flows in my veins', or 'I carry the mark of the Dragonslayer of legends'). This Passion works exactly like the others, but cannot be changed, unless you fulfill your destiny."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Mark of Destiny (Focus)"",""type"": ""Modifier"",""data"": {""notes"": ""Your mark will always warn you when you’re in the presence of your chosen force or creature. You get a -10 penalty to all Perception Rolls to notice anything else when your mark is 'active', because of the distraction."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": -10,""formula"": ""-10"",""category"": ""skill"",""targets"": ""Perception""}},""tempName"": ""Mark of Destiny (Focus)""}}, {""name"": ""Destiny"",""type"": ""Trait"",""data"": {""notes"": ""Your mark connects you to a Destiny."",""chartype"": ""CharacterVsD"",""category"": ""disadvantage""}}]"
Religious Adept,"[{""name"": ""Religious Adept"",""type"": ""Trait"",""data"": {""notes"": ""You are a member of an established religious order:  either of the clergy of some god's church or some cult.\n- Minor (cost 1 BP):  You are an initiate adept of the cult/church. You always carry with you a holy symbol that identifies you as a member of your cult or church. Write your Nature or Allegiance to reflect either your religious creed or your loyalty to your cult/church. Other members of the church or cult will try to help you in times of need, giving you protection and shelter. You also gain a special +20 bonus to all Charisma and Deceive Rolls made against other followers of your belief.\n- Major (3 BPs):  You are a member of the clergy, a 'true priest'. In addition to the benefits of the Minor Tier, choose a non-attack Spell of the Fifth Weave or less that doesn't require a Save Roll related to your belief. You can cast the chosen Spell once per day without spending MPs or making a Spell Casting Roll. Initiates and adepts of your cult/church will listen to your words and obey your provisions. However, you are disliked by the clergy and members of an opposing cult or church."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Religious Adept (Spell Name)"",""type"": ""Pool"",""data"": {""notes"": ""You may cast a fifth weave spell of your choice, related to your belief, that does not require a saving roll, once per day with no roll or MP expended."",""chartype"": ""CharacterVsD"",""abbr"": ""RA5"",""name"": """",""state"": """",""min"": 0,""value"": 1,""max"": 1}}, {""name"": ""Religious Adept (Believers)"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a special +20 bonus to all Charisma and Deceive Rolls made against other followers of your belief."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""20"",""category"": ""skill"",""targets"": ""Charisma, Deceive""}},""tempName"": ""Religious Adept (Believers)""}}]"
Strider,"[{""name"": ""Strider"",""type"": ""Trait"",""data"": {""notes"": ""You lived most of your life in the wilderness, and are accustomed to the laws of Nature. You are stigmatised as an 'outsider' by most of the civilized people you meet, but you probably don't care.\n- Minor (cost 1 BP):  Write your Nature about why you preferred the harshness of the wilds to the comforts of civilization. You gain a +10 bonus to all your Adventuring Skills while you are outdoors, far from civilization. Furthermore, you can travel up to 1.5x the normal overland distance per day, as long as you're on foot and Unencumbered or Lightly Encumbered.\n- Major (cost 3 BPs):  Additionally, you get a +30 bonus on your Save Rolls against Weariness and Starvation, and a +20 bonus to your Stealth and Perception Skills while you are out in the wilderness."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Strider (Outdoors)"",""type"": ""Modifier"",""data"": {""notes"": ""Minor - You gain a +10 bonus to all your Adventuring Skills while you are outdoors, far from civilization.\n\nDelete the major effects if they do not apply.\nMajor - Additionally, you get a +30 bonus on your Save Rolls against Weariness and Starvation, and a +20 bonus to your Stealth and Perception Skills while you are out in the wilderness."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Athletics, Ride, Hunting, Nature, Wandering""},""2"": {""value"": 30,""formula"": ""30"",""category"": ""defence"",""targets"": ""Willpower, Toughness""},""3"": {""value"": 20,""formula"": ""20"",""category"": ""skill"",""targets"": ""Stealth, Perception""}},""tempName"": ""Strider (Outdoors)""}}]"
Ancient Heirloom,"[{""name"": ""Ancient Heirloom"",""type"": ""Trait"",""data"": {""notes"": ""You've either inherited an ancient artifact, or acquired it under unusual circumstances.\n- Minor (cost 1 BP):  Choose an item in your character's starting equipment. That item either grants you a +10 magical Item Modifier to a specific skill, acts as a +1 Magical Focus, or lets you cast a First Weave Spell of your choosing twice a day. Give it a name, an origin, and record it on your character sheet.\n- Major (cost 3 BPs):  The item also lets you cast a Spell up to the Third Weave twice a day, or a Fifth Weave Spell once a day. However, the item is either stolen, or sought by the Darkmaster."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Ancient Heirloom (Spell)"",""type"": ""Pool"",""data"": {""notes"": ""Your item allows you to cast a spell of the: \n• Minor - First Weave twice a day\nor\n• Major - Third Weave twice a day\nor\n• Major - Fifth Weave once a day.\n\nChoose one option and delete the others."",""chartype"": ""CharacterVsD"",""abbr"": ""AH1, AH3, AH5"",""name"": """",""state"": """",""min"": 0,""value"": 2,""max"": 2}}, {""name"": ""Ancient Heirloom (Skill)"",""type"": ""Modifier"",""data"": {""notes"": ""Your Ancient Heirloom grants you a +10 magical Item Modifier to a specific skill.\n\nReplace 'Skill Name' with the name of the skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Skill Name""}},""tempName"": ""Ancient Heirloom (Skill)""}}]"
